Date,Open,High,Low,Close,Volume
1/13/2020,5.5802,5.5987,5.3106,5.4677,1110546.67
1/14/2020,5.4725,7.0163,5.4711,6.7895,8355276.02
1/15/2020,6.7834,8.1277,6.6222,7.9911,10584307.67
1/16/2020,7.9864,8.65,7.3087,8.414,8608940.54
1/17/2020,8.4029,12.0299,8.1649,9.4792,20398865.04
1/18/2020,9.4563,9.766,8.1,8.2944,13254147.33
1/19/2020,8.2991,9.46,7.77,8.5268,11983020.23
1/20/2020,8.5258,9.0946,8.0512,8.6347,6508082.79
1/21/2020,8.624,9.1469,8.5001,8.943,3982256.64
1/22/2020,8.937,9.5275,8.9121,9.3457,4277149.34
1/23/2020,9.3459,9.39,8.1864,8.4421,4851643.93
1/24/2020,8.4403,8.8441,7.8401,8.6118,6109306.61
1/25/2020,8.6119,8.65,8.1,8.3966,2870637.12
1/26/2020,8.3903,9.378,8.2287,9.19,3700026.35
1/27/2020,9.1898,11.1721,9.1654,10.4161,9777170.76
1/28/2020,10.4229,11.7,10.3572,11.3697,11521471.14
1/29/2020,11.3697,12.8789,11.3316,12.2231,12337574.44
1/30/2020,12.2282,12.7189,11.6722,12.2842,9131565.77
1/31/2020,12.2872,12.3114,10.7101,11.338,6927747.23
2/1/2020,11.3374,11.7999,11.0306,11.5282,4495096.72
2/2/2020,11.5275,11.7481,11.1401,11.3658,3871717.98
2/3/2020,11.364,12.2216,11.2878,11.7782,4945289
2/4/2020,11.77,11.908,11.07,11.4111,4272858.82
2/5/2020,11.4155,12.6426,11.3184,12.3345,4822356.49
2/6/2020,12.34,13.2228,10.9696,12.1132,8405057.34
2/7/2020,12.1139,12.2689,11.28,11.6967,4633378.79
2/8/2020,11.6962,11.9498,11.1111,11.6984,2989750.46
2/9/2020,11.6965,12.1486,11.2759,11.7025,3054471.27
2/10/2020,11.701,12.0767,11.3503,11.8387,4249729.19
2/11/2020,11.8386,12.1461,11.5869,11.96,4044074.9
2/12/2020,11.9585,12.47,11.9515,12.2074,3472891.06
2/13/2020,12.2132,13.0624,11.0005,12.055,6326173.31
2/14/2020,12.0495,12.0742,11.6707,12.0094,2153356.85
2/15/2020,12.0066,12.0612,9.76,10.4066,5956360.84
2/16/2020,10.3943,10.6674,8.8515,9.5637,7096045.59
2/17/2020,9.562,9.9051,8.6643,9.6792,7207884.57
2/18/2020,9.6831,9.999,9.15,9.8629,4002950.69
2/19/2020,9.8631,9.87,8.65,8.813,3017740.67
