Date,Open,High,Low,Close,Volume
3/20/2020,2.2753,2.5198,1.912,2.2029,35332072.26
3/21/2020,2.2033,2.3567,2.1065,2.2735,21086684.76
3/22/2020,2.2736,2.3907,2.1101,2.1344,19793538.85
3/23/2020,2.1343,2.338,2.063,2.2856,18154476.8
3/24/2020,2.2859,2.3758,2.2701,2.3439,13129386.45
3/25/2020,2.3442,2.37,2.23,2.2965,10901104.58
3/26/2020,2.2962,2.343,2.2608,2.3236,8826424.43
3/27/2020,2.3236,2.3683,2.156,2.1928,11898230.17
3/28/2020,2.1927,2.2383,2.0883,2.1996,12971266.8
3/29/2020,2.1995,2.2153,2.0995,2.1133,6945675.02
3/30/2020,2.1145,2.2776,2.1083,2.2269,9213390.27
3/31/2020,2.2269,2.2549,2.1842,2.2086,6840046.38
4/1/2020,2.209,2.2996,2.1324,2.2549,10421324.16
4/2/2020,2.255,2.4968,2.2475,2.2895,14720028.78
4/3/2020,2.29,2.3842,2.2672,2.3325,9487365.97
4/4/2020,2.3332,2.4034,2.2836,2.3559,8091416.27
4/5/2020,2.3567,2.3932,2.3154,2.3505,5086467.89
4/6/2020,2.3505,2.7698,2.35,2.7586,18776683.66
4/7/2020,2.7581,2.8253,2.5513,2.6332,15227854.46
4/8/2020,2.6333,2.7934,2.5847,2.7486,12807806.68
4/9/2020,2.7486,2.7597,2.68,2.7239,5851815.51
4/10/2020,2.7244,2.7463,2.4116,2.4916,13460224.33
4/11/2020,2.4919,2.5478,2.4213,2.5083,6404505.02
4/12/2020,2.508,2.5897,2.4546,2.498,6693663.05
4/13/2020,2.4972,2.4981,2.3412,2.4424,12268623.04
4/14/2020,2.4425,2.5025,2.4145,2.4655,5434530.58
4/15/2020,2.4652,2.5007,2.39,2.4015,6864780.21
4/16/2020,2.4015,2.7175,2.3318,2.6569,16562800.57
4/17/2020,2.6556,2.6723,2.5784,2.6129,7847106.34
4/18/2020,2.6125,2.7639,2.6112,2.7265,7749674.53
4/19/2020,2.7266,2.7347,2.5366,2.598,11326662.86
4/20/2020,2.5972,2.7061,2.4363,2.5077,16422468.97
4/21/2020,2.5065,2.5692,2.4778,2.5211,8396116.94
4/22/2020,2.5211,2.6521,2.5056,2.6224,6242501.85
4/23/2020,2.6235,2.762,2.5765,2.6811,9406687.72
4/24/2020,2.6809,2.7379,2.66,2.7068,8040719.79
4/25/2020,2.7068,2.8088,2.64,2.7024,8874935.88
4/26/2020,2.7012,2.7827,2.6728,2.7375,8182933.2
4/27/2020,2.7375,2.8172,2.6801,2.743,12013467.24
4/28/2020,2.743,2.7747,2.6874,2.7614,8622299.02
4/29/2020,2.7609,3.089,2.7551,3.0059,21932316.85
4/30/2020,3.0058,3.1187,2.7477,2.822,19748582.59
5/1/2020,2.8208,2.9296,2.8195,2.8731,8743612.12
5/2/2020,2.8733,2.9485,2.8518,2.9396,6565534.1
5/3/2020,2.9397,3.01,2.7666,2.8387,10310737.04
5/4/2020,2.8384,2.8456,2.6268,2.7687,11585090.53
5/5/2020,2.7692,2.8269,2.7129,2.7706,6468637.44
5/6/2020,2.7698,2.8191,2.6203,2.6522,8130545.08
5/7/2020,2.6522,2.7956,2.5911,2.7572,13462500.24
5/8/2020,2.7573,2.8245,2.6988,2.7518,9488473.4
5/9/2020,2.7521,2.8373,2.7306,2.7516,9218218.11
5/10/2020,2.7516,2.7554,2.2779,2.4434,20142604.27
5/11/2020,2.4435,2.4941,2.267,2.3978,12927072.96
5/12/2020,2.3969,2.4687,2.3938,2.441,7380068.29
5/13/2020,2.4409,2.5577,2.4226,2.5245,7231895.13
5/14/2020,2.5245,2.6515,2.4682,2.6228,11035900.08
5/15/2020,2.6228,2.6639,2.5342,2.5855,11749481.59
5/16/2020,2.5853,2.6837,2.57,2.6361,9973391.3
5/17/2020,2.6362,2.672,2.5931,2.6205,6915989.58
5/18/2020,2.62,2.7486,2.6073,2.6653,11147526.81
5/19/2020,2.6652,2.6683,2.5606,2.6543,7462912.25
5/20/2020,2.653,2.6772,2.5055,2.597,10300961.15
5/21/2020,2.5975,2.6166,2.4059,2.4621,8360653.16
5/22/2020,2.4622,2.6466,2.4408,2.5948,9743621.95
5/23/2020,2.5946,2.6222,2.5436,2.5631,6936985.45
5/24/2020,2.5626,2.6118,2.4855,2.4879,8109723.79
5/25/2020,2.4887,2.5479,2.4475,2.5296,5026473.13
5/26/2020,2.5304,2.5364,2.4568,2.5034,4352859.12
5/27/2020,2.5033,2.577,2.4995,2.5715,5427168.83
5/28/2020,2.5714,2.6194,2.5183,2.612,5577593.35
5/29/2020,2.6113,2.6692,2.5889,2.6144,5998494.71
5/30/2020,2.6147,2.7806,2.5969,2.7715,8054685.59
5/31/2020,2.7717,2.7742,2.6476,2.6731,8793367.4
6/1/2020,2.6722,2.83,2.6624,2.8214,9842934.56
6/2/2020,2.8214,2.8939,2.575,2.6756,13945544.07
6/3/2020,2.6748,2.7098,2.6328,2.6958,6620031.17
6/4/2020,2.6958,2.7483,2.6625,2.7203,6329555.25
6/5/2020,2.7201,2.8703,2.7068,2.8143,9928226.04
6/6/2020,2.8137,2.8461,2.7703,2.7982,6954722.69
6/7/2020,2.7986,2.8288,2.7313,2.8098,6966955.95
6/8/2020,2.8101,2.8174,2.7521,2.7878,5806942.68
6/9/2020,2.788,2.8006,2.685,2.7505,6652406.87
6/10/2020,2.7505,2.7899,2.7055,2.7568,5910175.94
6/11/2020,2.7562,2.7737,2.4251,2.5146,11340411.32
6/12/2020,2.5146,2.6239,2.4876,2.597,6357355.39
6/13/2020,2.597,2.62,2.5521,2.6042,3760241.26
6/14/2020,2.6055,2.6071,2.5237,2.5681,3725316.31
6/15/2020,2.568,2.5703,2.41,2.532,7697502.48
6/16/2020,2.5317,2.5647,2.5214,2.5539,4326837.91
6/17/2020,2.554,2.6067,2.5173,2.5678,6091826.14
6/18/2020,2.5685,2.5756,2.4956,2.5364,4359298.21
6/19/2020,2.536,2.5539,2.5015,2.5254,4672218.85
6/20/2020,2.5253,2.58,2.415,2.5362,5184300.27
6/21/2020,2.5362,2.5529,2.5066,2.514,3712205.79
6/22/2020,2.5137,2.605,2.5103,2.5862,6506047.56
6/23/2020,2.5853,2.5967,2.556,2.5714,4782427.35
6/24/2020,2.5713,2.5976,2.4564,2.502,7256521.58
6/25/2020,2.5016,2.5339,2.4325,2.4799,4596650.78
6/26/2020,2.4798,2.5156,2.3902,2.481,6754320.83
6/27/2020,2.481,2.4848,2.1945,2.3318,8648158.36
6/28/2020,2.3318,2.4019,2.3033,2.3668,4730178.81
6/29/2020,2.3665,2.4179,2.325,2.38,6438745.88
6/30/2020,2.38,2.389,2.342,2.368,3473008.49
7/1/2020,2.368,2.4026,2.355,2.3773,5457636.81
7/2/2020,2.378,2.387,2.303,2.3576,6918758.29
